                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                           12115          4.9977666274836068E+000          5.9973174842906092E+000          6.3352797684837178E+001                       "gfortran"                          "9.2.0"            "x86_64-linux-20.3.1"                       "20220204" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          7.4415999999999997E+002          6.3352802282884454E+001          1.4867234172742747E+002          6.4786683232817907E+001          5.3988918099642902E+001          5.4005009005896554E+001          5.8695893865076989E+001         -1.5411565621427622E-002         -1.0000000000000000E+000          4.9977661511054681E+000          5.9973176700036728E+000         -9.3597938106034544E+000         -9.0898573871647166E+000         -9.3853700727353466E+000         -9.8999999999999986E+001         -1.0602466421026879E+001         -9.4243799811172178E+000         -9.8999999999999986E+001          6.6644922971878361E+053         -9.0745425156344208E+035          0.0000000000000000E+000          0.0000000000000000E+000         -9.0745425156344208E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              10          1.6733524417893236E+003          6.3352816892216040E+001          1.4867236261138487E+002          6.4786695344846521E+001          5.3988895282005913E+001          5.4005008860404885E+001          5.8695910047992037E+001         -1.2425279721648934E-002         -1.0000000000000000E+000          4.9977642904422641E+000          5.9973190931015834E+000         -8.5246358659576273E+000         -8.4727036423990292E+000         -8.5502121401855824E+000         -9.8999999999999986E+001         -9.7673082769741413E+000         -9.4207584295563294E+000         -9.8999999999999986E+001          6.6644919981058246E+053         -1.1482482172681252E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.1482482172681252E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          1.8821798588249726E+003          6.3352823494305539E+001          1.4867237237313930E+002          6.4786701867463492E+001          5.3988884180358824E+001          5.4005008521382507E+001          5.8695917890595140E+001         -1.1755297804418498E-002         -1.0000000000000000E+000          4.9977633982374492E+000          5.9973198594744295E+000         -8.3385748420537222E+000         -8.3039836483811342E+000         -8.3641511232924497E+000         -9.8999999999999986E+001         -9.5812471374957262E+000         -9.4199832153602294E+000         -9.8999999999999986E+001          6.6644919169125837E+053         -1.2960913636540333E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.2960913636540333E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          2.0644279585941313E+003          6.3352831642609104E+001          1.4867238453776972E+002          6.4786710295299528E+001          5.3988870194287422E+001          5.4005008004597890E+001          5.8695927760499956E+001         -1.1172540438742521E-002         -1.0000000000000000E+000          4.9977622785932985E+000          5.9973208497009844E+000         -8.1771474902978856E+000         -8.1529698676701781E+000         -8.2027237799603157E+000         -9.8999999999999986E+001         -9.4198196468729201E+000         -9.4193733139940168E+000         -9.8999999999999986E+001          6.6644918361292265E+053         -1.4863102140916758E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.4863102140916758E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              25          2.2378048303549367E+003          6.3352842418453669E+001          1.4867240072978254E+002          6.4786721779738826E+001          5.3988851442939286E+001          5.4005007232887330E+001          5.8695940984135596E+001         -1.0620446101764665E-002         -1.0000000000000000E+000          4.9977607813139837E+000          5.9973221990634613E+000         -8.0241419552554625E+000         -8.0069816708539392E+000         -8.0497182564091041E+000         -9.8999999999999986E+001         -9.2668139223949204E+000         -9.4187933912095190E+000         -9.8999999999999986E+001          6.6644917467320202E+053         -1.7445967256693729E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.7445967256693729E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          2.4034639824452229E+003          6.3352856590721927E+001          1.4867242212201685E+002          6.4786737196828497E+001          5.3988826545738483E+001          5.4005006136447868E+001          5.8695958533609264E+001         -1.0095940606644122E-002         -1.0000000000000000E+000          4.9977587967959058E+000          5.9973240104940144E+000         -7.8797573804377876E+000         -7.8673667327209653E+000         -7.9053336970728543E+000         -9.8999999999999986E+001         -9.1224290923620721E+000         -9.4182376287652563E+000         -9.8999999999999986E+001          6.6644916452561484E+053         -2.0872203868809110E+036          0.0000000000000000E+000          0.0000000000000000E+000         -2.0872203868809110E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              35          2.5618637103753649E+003          6.3352875036113126E+001          1.4867245005309408E+002          6.4786757549708781E+001          5.3988793925324885E+001          5.4005004634584957E+001          5.8695981519489344E+001         -9.5973895794955258E-003         -1.0000000000000000E+000          4.9977561998594524E+000          5.9973264018584915E+000         -7.7423953144238364E+000         -7.7333186842720103E+000         -7.7679716515622088E+000         -9.8999999999999986E+001         -8.9850666883462509E+000         -9.4177087670752719E+000         -9.8999999999999986E+001          6.6644915279709450E+053         -2.5374704774729505E+036          0.0000000000000000E+000          0.0000000000000000E+000         -2.5374704774729505E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          2.7132164408714466E+003          6.3352898740648222E+001          1.4867248602902049E+002          6.4786783968065905E+001          5.3988751806560863E+001          5.4005002636167447E+001          5.8696011191568587E+001         -9.1223421104211933E-003         -1.0000000000000000E+000          4.9977528496460142E+000          5.9973295058926404E+000         -7.6117388160177262E+000         -7.6049944357239934E+000         -7.6373151798812557E+000         -9.8999999999999986E+001         -8.8544097493699763E+000         -9.4172045223773821E+000         -9.8999999999999986E+001          6.6644913907577497E+053         -3.1199536679034083E+036          0.0000000000000000E+000          0.0000000000000000E+000         -3.1199536679034083E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              45          2.8571834336369247E+003          6.3352928695659664E+001          1.4867253156477378E+002          6.4786817590382540E+001          5.3988698402724957E+001          5.4005000048876290E+001          5.8696048807748127E+001         -8.6717590364506405E-003         -1.0000000000000000E+000          4.9977486044086001E+000          5.9973334563677216E+000         -7.4880225485821565E+000         -7.4829346982884779E+000         -7.5135989465385231E+000         -9.8999999999999986E+001         -8.7306929199071117E+000         -9.4167261271608016E+000         -9.8999999999999986E+001          6.6644912296189277E+053         -3.8585455158239217E+036          0.0000000000000000E+000          0.0000000000000000E+000         -3.8585455158239217E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              50          2.9948272705181184E+003          6.3352966238284168E+001          1.4867258870140788E+002          6.4786859944493969E+001          5.3988631309712368E+001          5.4004996750222070E+001          5.8696096060797977E+001         -8.2435109641376559E-003         -1.0000000000000000E+000          4.9977432733379326E+000          5.9973384328050781E+000         -7.3706357128696833E+000         -7.3667434711324757E+000         -7.3962121538875607E+000         -9.8999999999999986E+001         -8.6133053743180419E+000         -9.4162726444827189E+000         -9.8999999999999986E+001          6.6644910387645464E+053         -4.7829538779808871E+036          0.0000000000000000E+000          0.0000000000000000E+000         -4.7829538779808871E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              55          3.1264535568136189E+003          6.3353012708191535E+001          1.4867265948502398E+002          6.4786912564802989E+001          5.3988548116141139E+001          5.4004992616546247E+001          5.8696154648565319E+001         -7.8364113957070779E-003         -1.0000000000000000E+000          4.9977366650901365E+000          5.9973446155019090E+000         -7.2592211323594258E+000         -7.2562035888717498E+000         -7.2847976270232051E+000         -9.8999999999999986E+001         -8.5018899094473550E+000         -9.4158422606191454E+000         -9.8999999999999986E+001          6.6644908125907211E+053         -5.9241389265673611E+036          0.0000000000000000E+000          0.0000000000000000E+000         -5.9241389265673611E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              60          3.2522958987556653E+003          6.3353069511310096E+001          1.4867274606305199E+002          6.4786977061846713E+001          5.3988446291234119E+001          5.4004987518034383E+001          5.8696226353014389E+001         -7.4493305143352130E-003         -1.0000000000000000E+000          4.9977285788538222E+000          5.9973521937064973E+000         -7.1534407495795218E+000         -7.1510715226498460E+000         -7.1790173101747721E+000         -9.8999999999999986E+001         -8.3961084397802619E+000         -9.4154332484965018E+000         -9.8999999999999986E+001          6.6644905452387582E+053         -7.3148146457324938E+036          0.0000000000000000E+000          0.0000000000000000E+000         -7.3148146457324938E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              65          3.3725490936783458E+003          6.3353138096038307E+001          1.4867285064785889E+002          6.4787055094789892E+001          5.3988323227854160E+001          5.4004981320988925E+001          5.8696313009954316E+001         -7.0813394196266918E-003         -1.0000000000000000E+000          4.9977188077635946E+000          5.9973613623880100E+000         -7.0530158287861608E+000         -7.0511329846751316E+000         -7.0785924693520661E+000         -9.8999999999999986E+001         -8.2956822006661692E+000         -9.4150440135614790E+000         -9.8999999999999986E+001          6.6644902306849777E+053         -8.9882325381348459E+036          0.0000000000000000E+000          0.0000000000000000E+000         -8.9882325381348459E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              70          3.4874506235320964E+003          6.3353219956096922E+001          1.4867297552097833E+002          6.4787148374209622E+001          5.3988176237754558E+001          5.4004973887701105E+001          5.8696416512418715E+001         -6.7315169937707418E-003         -1.0000000000000000E+000          4.9977071385195391E+000          5.9973723225657665E+000         -6.9576722520638228E+000         -6.9561586002096414E+000         -6.9832489884508151E+000         -9.8999999999999986E+001         -8.2003370443334056E+000         -9.4146735203945333E+000         -9.8999999999999986E+001          6.6644898627079341E+053         -1.0977997849795778E+037          0.0000000000000000E+000          0.0000000000000000E+000         -1.0977997849795778E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              75          3.5972234692710263E+003          6.3353316584120286E+001          1.4867312296230418E+002          6.4787258609090159E+001          5.3988002635028508E+001          5.4004965080707990E+001          5.8696538751934739E+001         -6.3989518530181023E-003         -1.0000000000000000E+000          4.9976933580125511E+000          5.9973852750835412E+000         -6.8671455231473884E+000         -6.8659152727854895E+000         -6.8927223730294411E+000         -9.8999999999999986E+001         -8.1098084444590377E+000         -9.4143210625974891E+000         -9.8999999999999986E+001          6.6644894350952138E+053         -1.3317398899693231E+037          0.0000000000000000E+000          0.0000000000000000E+000         -1.3317398899693231E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              80          3.7020774944835280E+003          6.3353429437785572E+001          1.4867329519834584E+002          6.4787387467894845E+001          5.3987799797203721E+001          5.4004954765965820E+001          5.8696681575539166E+001         -6.0827925618847246E-003         -1.0000000000000000E+000          4.9976772581727227E+000          5.9974004160379391E+000         -6.7811856936792738E+000         -6.7801753269622704E+000         -6.8067626765164198E+000         -9.8999999999999986E+001         -8.0238464232466207E+000         -9.4139856922101366E+000         -9.8999999999999986E+001          6.6644889417831638E+053         -1.6038624844960627E+037          0.0000000000000000E+000          0.0000000000000000E+000         -1.6038624844960627E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              85          3.8022104714630013E+003          6.3353559884793981E+001          1.4867349431817729E+002          6.4787536515395644E+001          5.3987565264417753E+001          5.4004942817980577E+001          5.8696846715981984E+001         -5.7822243692430006E-003         -1.0000000000000000E+000          4.9976586438392152E+000          5.9974179293582157E+000         -6.6995590331512824E+000         -6.6987210068967089E+000         -6.7251361700899510E+000         -9.8999999999999986E+001         -7.9422172223933520E+000         -9.4136666390653456E+000         -9.8999999999999986E+001          6.6644883770839889E+053         -1.9171947538021204E+037          0.0000000000000000E+000          0.0000000000000000E+000         -1.9171947538021204E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              90          3.8978095923644464E+003          6.3353709260349021E+001          1.4867372236124120E+002          6.4787707278483595E+001          5.3987296635998398E+001          5.4004929114518774E+001          5.8697035864569244E+001         -5.4964779834082433E-003         -1.0000000000000000E+000          4.9976373245553063E+000          5.9974379945413849E+000         -6.6220369680799118E+000         -6.6213353394219459E+000         -6.6476142819192265E+000         -9.8999999999999986E+001         -7.8646922411782372E+000         -9.4133630983780296E+000         -9.8999999999999986E+001          6.6644877354483694E+053         -2.2745453347853936E+037          0.0000000000000000E+000          0.0000000000000000E+000         -2.2745453347853936E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              95          3.9890551171272878E+003          6.3353878676169550E+001          1.4867398102558235E+002          6.4787901027121862E+001          5.3986991914483390E+001          5.4004913554324091E+001          5.8697250428971330E+001         -5.2248279192137325E-003         -1.0000000000000000E+000          4.9976131418648277E+000          5.9974607609156001E+000         -6.5484161739771531E+000         -6.5478234810925686E+000         -6.5739936889040083E+000         -9.8999999999999986E+001         -7.7910681322447157E+000         -9.4130743916677400E+000         -9.8999999999999986E+001          6.6644870122530368E+053         -2.6783504679235800E+037          0.0000000000000000E+000          0.0000000000000000E+000         -2.6783504679235800E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             100          4.0761043853801343E+003          6.3354069102178933E+001          1.4867427179266534E+002          6.4788118868045402E+001          5.3986649358489061E+001          5.4004896049546026E+001          5.8697491636825269E+001         -4.9665311921071971E-003         -1.0000000000000000E+000          4.9975859576394788E+000          5.9974863586511518E+000         -6.4784842207382063E+000         -6.4779793103397756E+000         -6.5040619621736209E+000         -9.8999999999999986E+001         -7.7211324451539118E+000         -9.4128017374694348E+000         -9.8999999999999986E+001          6.6644862034679718E+053         -3.1307912524041428E+037          0.0000000000000000E+000          0.0000000000000000E+000         -3.1307912524041428E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             105          4.1591274864486995E+003          6.3354281344571326E+001          1.4867459589381096E+002          6.4788361719404307E+001          5.3986267522375336E+001          5.4004876527829396E+001          5.8697760507821478E+001         -4.7210056730922134E-003         -1.0000000000000000E+000          4.9975556572243018E+000          5.9975148957817286E+000         -6.4120698904218321E+000         -6.4116362828789635E+000         -6.4376478847872223E+000         -9.8999999999999986E+001         -7.6547139454854323E+000         -9.4125405514980898E+000         -9.8999999999999986E+001          6.6644853057375520E+053         -3.6334424218976766E+037          0.0000000000000000E+000          0.0000000000000000E+000         -3.6334424218976766E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             110          4.2382933924462595E+003          6.3354516020272783E+001          1.4867495427120363E+002          6.4788630281559449E+001          5.3985845302179243E+001          5.4004854934658923E+001          5.8698057821359896E+001         -4.4875864687964166E-003         -1.0000000000000000E+000          4.9975221530829543E+000          5.9975464547727366E+000         -6.3489858209777319E+000         -6.3486105971295599E+000         -6.3745640955068890E+000         -9.8999999999999986E+001         -7.5916252578110983E+000         -9.4122920737270483E+000         -9.8999999999999986E+001          6.6644843164896325E+053         -4.1875895138919211E+037          0.0000000000000000E+000          0.0000000000000000E+000         -4.1875895138919211E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             115          4.3137555843593973E+003          6.3354773505592739E+001          1.4867534749947222E+002          6.4788924978343360E+001          5.3985382027970310E+001          5.4004831238072974E+001          5.8698384051504057E+001         -4.2656794043266664E-003         -1.0000000000000000E+000          4.9974853921257916E+000          5.9975810856177780E+000         -6.2890631567431265E+000         -6.2887360961181784E+000         -6.3146417391765270E+000         -9.8999999999999986E+001         -7.5316975181312742E+000         -9.4120556652065179E+000         -9.8999999999999986E+001          6.6644832341512196E+053         -4.7939853269517365E+037          0.0000000000000000E+000          0.0000000000000000E+000         -4.7939853269517365E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             120          4.3856634359294003E+003          6.3355053894094311E+001          1.4867577572131248E+002          6.4789245908810273E+001          5.3984877539648849E+001          5.4004805432536934E+001          5.8698739313577157E+001         -4.0547188689593642E-003         -1.0000000000000000E+000          4.9974453617221855E+000          5.9976188001660891E+000         -6.2325692654713283E+000         -6.2322819366490201E+000         -6.2581481837827928E+000         -9.8999999999999986E+001         -7.4751980903699264E+000         -9.4118307116487880E+000         -9.8999999999999986E+001          6.6644820583190499E+053         -5.4476142248832220E+037          0.0000000000000000E+000          0.0000000000000000E+000         -5.4476142248832220E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
